// This file is generated automatically. All manually added changes will be removed when running the Converter.
// Map 008-1: Hurnscald warps
008-1,276,122,0	warp	#008-1_276_122	0,0,008-2-0,26,23
008-1,274,125,0	warp	#008-1_274_125	0,0,008-2-0,23,34
008-1,259,118,0	warp	#008-1_259_118	0,0,008-2-1,33,42
008-1,261,111,0	warp	#008-1_261_111	0,0,008-2-1,38,27
008-1,236,102,0	warp	#008-1_236_102	0,0,008-2-2,28,33
008-1,260,105,0	warp	#008-1_260_105	0,0,008-2-6,27,32
008-1,272,102,0	warp	#008-1_272_102	0,0,008-2-7,36,28
008-1,292,118,0	warp	#008-1_292_118	0,0,008-2-8,36,38
008-1,243,115,0	warp	#008-1_243_115	0,0,008-2-9,30,34
008-1,273,116,0	warp	#008-1_273_116	0,0,008-2-10,37,33
008-1,275,74,0	warp	#008-1_275_74	0,0,008-2-16,25,33
008-1,281,103,0	warp	#008-1_281_103	0,0,008-2-12,30,31
008-1,122,114,0	warp	#008-1_122_114	0,0,008-2-22,30,34
008-1,71,128,0	warp	#008-1_71_128	0,0,008-2-23,52,39
008-1,106,221,0	warp	#008-1_106_221	0,0,008-2-24,32,45
008-1,236,39,0	warp	#008-1_236_39	0,0,008-2-17,52,39
008-1,151,80,0	warp	#008-1_151_80	0,0,008-2-15,35,33
008-1,256,203,0	warp	#008-1_256_203	0,0,008-2-20,25,31
008-1,128,138,0	warp	#008-1_128_138	0,0,008-3-1,35,34
008-1,287,113,0	warp	#008-1_287_113	0,0,008-2-8,26,28
008-1,252,211,0	warp	#008-1_252_211	0,0,008-2-21,22,42
008-1,257,130,0	warp	#008-1_257_130	0,0,008-2-28,25,31
008-1,233,131,0	warp	#008-1_233_131	0,0,008-2-29,36,24
008-1,287,133,0	warp	#008-1_287_133	0,0,008-2-30,52,39
008-1,20,85,0	warp	#008-1_20_85	0,1,008-1-1,246,85
008-1,165,171,0	warp	#008-1_165_171	0,0,008-4-1,175,19
