// Quest Database
//
// Structure of Database:
// Quest ID,Time Limit,Target1,Val1,Target2,Val2,Target3,Val3,Quest Title

1000,0,0,0,0,0,0,0,"ShipQuests_Julia"
1001,0,0,0,0,0,0,0,"ShipQuests_Arpan"
1002,0,0,0,0,0,0,0,"ShipQuests_Alige"
1003,0,0,0,0,0,0,0,"ShipQuests_Peter"
1004,0,0,0,0,0,0,0,"ShipQuests_Nard"
1005,0,0,0,0,0,0,0,"ShipQuests_Knife"
1006,0,0,0,0,0,0,0,"ShipQuests_ArpanMoney"
1007,0,0,0,0,0,0,0,"ShipQuests_Door"
1008,0,0,0,0,0,0,0,"ShipQuests_Couwan"
1009,0,0,0,0,0,0,0,"ShipQuests_TreasureChest"
1010,0,0,0,0,0,0,0,"ShipQuests_Ale"
1011,0,0,0,0,0,0,0,"ShipQuests_Astapolos"
1012,0,0,0,0,0,0,0,"ShipQuests_Gulukan"
1013,0,0,0,0,0,0,0,"ShipQuests_Jalad"
1014,0,0,0,0,0,0,0,"ShipQuests_QMuller"
1015,0,0,0,0,0,0,0,"ShipQuests_Tibbo"
1016,0,0,0,0,0,0,0,"ShipQuests_Gugli"
1017,0,0,0,0,0,0,0,"ShipQuests_ChefGado"
1018,0,0,0,0,0,0,0,"General_Cookies"
